interest rate|-104.352614858731
star war|-92.5485307249255
clean air|-88.8279357577993
care act|-87.7080479926648
hate crime|85.2420368951358
high interest|-82.6797072662151
credit card|-80.0253240948568
nation debt|73.4416568393339
support rule|70.0543650138171
tax credit|-58.0658595028065
air act|-56.1190206219387
tax rate|54.8344570714701
death tax|44.5047773235185
special interest|-44.3669979206969
debt limit|38.1995438708497
trade agreement|-37.8930011168762
sea level|-32.4043211380496
public school|-31.8102004363509
tax go|31.1351073471751
war coal|30.4114676610729
rule under|29.9626347273258
move forward|-29.6740992041582
cold war|-27.7398631843164
tax limit|19.0721207300048
growth act|19.0456740318778
high school|-18.9039329901425
tax much|18.8914412591873
give tax|-18.8128338973249
look forward|18.6127775310561
first step|18.4283483099822
care system|18.3540614845039
public debt|18.3044570352846
slow growth|18.1987244992121
violent crime|22.7292658941927
heart mind|22.2016419477771
transport system|-21.1605490347768
rate growth|20.4033524577612
go tax|20.199221261456
school board|19.6585158885329
arm control|-19.5424650817441
roll back|-19.4459336371314
growth rate|10.4720948248443
clean coal|10.4086022643547
current tax|10.2839042289626
gun control|-11.0365057772601
slow rate|7.05533864554627
flat tax|8.99575281771405
equal right|-17.4201953433477
birth control|-17.3854149723596
amount debt|11.8123257628334
point time|11.0442994731608
gun control|-11.0365057772601
stop violent|5.74460407005487
level play|-5.71750529027926
safe drink|5.71495450502828
control system|-8.03643723641268
stop arm|-4.40630841725365
limit test|-3.82475004868424
plant open|3.3961914953526
equal act|3.29290149356593
use tax|3.25163561526012
